index,periodo,saldo_inicial,pago_capital,intereses,saldo_final,pago_acumulado,pago_intereses_acum,pago_capital_acum,eficiencia
21,21,117056.05,2489.28,1110.72,114566.77,79200.0,29516.769999999997,49683.229999999996,0.6914666666666667
22,22,114566.77,2512.9,1087.1,112053.87,82800.0,30603.869999999995,52196.13,0.6980277777777778
23,23,112053.87,2536.74,1063.26,109517.13,86400.0,31667.129999999994,54732.869999999995,0.7046499999999999
24,24,109517.13,2560.81,1039.19,106956.32,90000.0,32706.319999999992,57293.67999999999,0.7113361111111111
25,25,106956.32,2585.11,1014.89,104371.21,93600.0,33721.20999999999,59878.78999999999,0.7180861111111111
26,26,104371.21,2609.64,990.36,101761.57,97200.0,34711.56999999999,62488.42999999999,0.7249
27,27,101761.57,2634.41,965.59,99127.16,100800.0,35677.15999999999,65122.84,0.7317805555555555
28,28,99127.16,2659.4,940.6,96467.76,104400.0,36617.75999999999,67782.23999999999,0.7387222222222223
29,29,96467.76,2684.64,915.36,93783.12,108000.0,37533.11999999999,70466.87999999999,0.7457333333333332
30,30,93783.12,2710.11,889.89,91073.01,111600.0,38423.00999999999,73176.98999999999,0.7528083333333334
31,31,91073.01,2735.83,864.17,88337.18,115200.0,39287.179999999986,75912.81999999999,0.7599527777777778
32,32,88337.18,2761.79,838.21,85575.39,118800.0,40125.389999999985,78674.60999999999,0.7671638888888889
33,33,85575.39,2787.99,812.01,82787.4,122400.0,40937.39999999999,81462.59999999999,0.7744416666666666
34,34,82787.4,2814.45,785.55,79972.95,126000.0,41722.94999999999,84277.04999999999,0.7817916666666667
35,35,79972.95,2841.15,758.85,77131.8,129600.0,42481.79999999999,87118.19999999998,0.7892083333333334
36,36,77131.8,2868.11,731.89,74263.69,133200.0,43213.68999999999,89986.30999999998,0.7966972222222223
37,37,74263.69,2895.33,704.67,71368.36,136800.0,43918.359999999986,92881.63999999998,0.8042583333333333
38,38,71368.36,2922.8,677.2,68445.56,140400.0,44595.55999999998,95804.43999999999,0.811888888888889
39,39,68445.56,2950.53,649.47,65495.03,144000.0,45245.029999999984,98754.96999999999,0.8195916666666667
40,40,65495.03,2978.53,621.47,62516.5,147600.0,45866.499999999985,101733.49999999999,0.8273694444444445
41,41,62516.5,3006.79,593.21,59509.71,151200.0,46459.709999999985,104740.28999999998,0.8352194444444444
42,42,59509.71,3035.32,564.68,56474.39,154800.0,47024.389999999985,107775.60999999999,0.8431444444444445
43,43,56474.39,3064.13,535.87,53410.26,158400.0,47560.25999999999,110839.73999999999,0.8511472222222223
0,44,53410.26,1293.2,506.8,52117.06,160200.0,48067.05999999999,112132.93999999999,0.7184444444444444
1,45,52117.06,1305.47,494.53,50811.59,162000.0,48561.58999999999,113438.40999999999,0.7252611111111111
2,46,50811.59,1317.86,482.14,49493.73,163800.0,49043.72999999999,114756.26999999999,0.7321444444444444
3,47,49493.73,1330.36,469.64,48163.37,165600.0,49513.36999999999,116086.62999999999,0.7390888888888888
4,48,48163.37,1342.99,457.01,46820.38,167400.0,49970.37999999999,117429.62,0.7461055555555556
5,49,46820.38,1355.73,444.27,45464.65,169200.0,50414.64999999999,118785.34999999999,0.7531833333333333
6,50,45464.65,1368.6,431.4,44096.05,171000.0,50846.04999999999,120153.95,0.7603333333333333
7,51,44096.05,1381.58,418.42,42714.47,172800.0,51264.46999999999,121535.53,0.7675444444444444
8,52,42714.47,1394.69,405.31,41319.78,174600.0,51669.779999999984,122930.22,0.7748277777777778
9,53,41319.78,1407.93,392.07,39911.85,176400.0,52061.849999999984,124338.15,0.7821833333333333
10,54,39911.85,1421.28,378.72,38490.57,178200.0,52440.569999999985,125759.43,0.7896
11,55,38490.57,1434.77,365.23,37055.8,180000.0,52805.79999999999,127194.2,0.7970944444444444
12,56,37055.8,1448.39,351.61,35607.41,181800.0,53157.40999999999,128642.59,0.8046611111111112
13,57,35607.41,1462.13,337.87,34145.28,183600.0,53495.27999999999,130104.72,0.8122944444444445
14,58,34145.28,1476.0,324.0,32669.28,185400.0,53819.27999999999,131580.72,0.82
15,59,32669.28,1490.01,309.99,31179.27,187200.0,54129.26999999999,133070.73,0.8277833333333333
16,60,31179.27,1504.15,295.85,29675.12,189000.0,54425.11999999999,134574.88,0.8356388888888889
17,61,29675.12,1518.42,281.58,28156.7,190800.0,54706.69999999999,136093.30000000002,0.8435666666666667
18,62,28156.7,1532.83,267.17,26623.87,192600.0,54973.86999999999,137626.13,0.8515722222222222
19,63,26623.87,1547.37,252.63,25076.5,194400.0,55226.499999999985,139173.5,0.8596499999999999
20,64,25076.5,1562.05,237.95,23514.45,196200.0,55464.44999999998,140735.55,0.8678055555555555
21,65,23514.45,1576.88,223.12,21937.57,198000.0,55687.569999999985,142312.43,0.8760444444444445
22,66,21937.57,1591.84,208.16,20345.73,199800.0,55895.72999999999,143904.27,0.8843555555555556
23,67,20345.73,1606.94,193.06,18738.79,201600.0,56088.789999999986,145511.21,0.8927444444444445
24,68,18738.79,1622.19,177.81,17116.6,203400.0,56266.599999999984,147133.4,0.9012166666666667
25,69,17116.6,1637.58,162.42,15479.02,205200.0,56429.01999999998,148770.97999999998,0.9097666666666666
26,70,15479.02,1653.12,146.88,13825.9,207000.0,56575.89999999998,150424.09999999998,0.9184
27,71,13825.9,1668.81,131.19,12157.09,208800.0,56707.08999999998,152092.90999999997,0.9271166666666666
28,72,12157.09,1684.64,115.36,10472.45,210600.0,56822.44999999998,153777.55,0.9359111111111111
29,73,10472.45,1700.63,99.37,8771.82,212400.0,56921.819999999985,155478.18,0.9447944444444445
30,74,8771.82,1716.77,83.23,7055.05,214200.0,57005.04999999999,157194.94999999998,0.9537611111111111
31,75,7055.05,1733.06,66.94,5321.99,216000.0,57071.98999999999,158928.00999999998,0.9628111111111111
32,76,5321.99,1749.5,50.5,3572.49,217800.0,57122.48999999999,160677.50999999998,0.9719444444444445
33,77,3572.49,1766.1,33.9,1806.39,219600.0,57156.38999999999,162443.61,0.9811666666666666
34,78,1806.39,1782.86,17.14,23.53,221400.0,57173.52999999999,164226.46999999997,0.9904777777777777
35,79,23.53,1799.78,0.22,-1776.25,223200.0,57173.74999999999,166026.24999999997,0.9998777777777778
